,Date,Day of Week,Is Weekday,Is Weekend,Calories Burned,Calories BMR,Steps,Distance (Km),Elevation (Ft),Resting Heart Rate,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Active Score,Cardio minutes,Cardio calories,Fat Burn minutes,Fat Burn calories,Peak minutes,Peak calories,Normal Cardio calories,Normal Cardio minutes,Sleep Efficiency,Minutes Asleep,Minutes to fall asleep,Sleep Start time,Sleep End time,Time in bed,Minutes Deep sleep,Deep sleep count,Minutes Light sleep,Light sleep count,Minutes REM sleep,REM sleep count,Minutes Awake,Minutes Awake count,% Deep sleep,% Light sleep,% REM sleep
99,2018-10-01,1,TRUE,FALSE,2491,1680,7166,4.79,18.29,62,6,803,167,4,26,872,-1,0,0,56,347.7362,0,0,2128.4256,1373,97,437,0,2018-10-01T22:54:30.000,2018-10-02T06:57:30.000,483,100,5,212,33,125,17,46,41,21,44,26
100,2018-10-02,2,TRUE,FALSE,2394,1680,6271,4.95,6.1,62,2,745,200,3,9,870,-1,1,10.5021,34,204.32419,0,0,2025.85509,1277,96,384,0,2018-10-02T22:49:30.000,2018-10-03T06:04:30.000,435,83,3,247,35,54,8,51,38,20,57,13
101,2018-10-03,3,TRUE,FALSE,3011,1680,10595,7.51,54.86,61,18,694,232,44,35,1519,-1,4,42.70854,162,861.40558,0,0,2041.14148,1251,96,390,0,2018-10-03T22:35:30.000,2018-10-04T05:59:00.000,443,106,5,219,33,65,6,53,34,24,50,15
102,2018-10-04,4,TRUE,FALSE,522,469,269,0.16,0,62,0,0,20,0,0,71,-1,0,0,1,4.43422,0,0,503.86742,390,,,,,,,,,,,,,,,,,
103,2018-10-05,5,TRUE,FALSE,2665,1675,5844,3.4,6.1,63,2,790,277,0,0,1148,-1,0,0,119,499.56396,0,0,2116.45728,1279,95,380,0,2018-10-06T00:30:30.000,2018-10-06T07:32:30.000,422,82,3,209,30,89,9,42,31,20,50,22
104,2018-10-06,6,FALSE,TRUE,2947,1675,12079,8.08,18.29,63,6,756,170,24,68,1487,-1,27,279.216,131,796.11462,0,0,1454.48268,928,,,,,,,,,,,,,,,,,
105,2018-10-07,7,FALSE,TRUE,1272,1272,0,0,0,,0,1094,0,0,0,0,-1,,,,,,,,,,,,,,,,,,,,,,,,,
106,2018-10-08,1,TRUE,FALSE,3353,1675,11066,7.03,24.38,64,8,658,238,61,66,1920,-1,4,38.62488,297,1517.30628,0,0,1781.86344,1126,98,382,0,2018-10-08T22:34:30.000,2018-10-09T05:35:30.000,421,78,3,214,26,90,8,39,29,19,51,22
107,2018-10-09,2,TRUE,FALSE,1500,686,6763,5.14,3.05,,1,13,78,19,59,973,-1,22,227.4447,105,586.81896,0,0,648.36282,441,,,,,,,,,,,,,,,,,
108,2018-10-10,3,TRUE,FALSE,3162,1675,12982,9.28,33.53,65,11,695,232,23,69,1713,-1,11,107.96352,239,1222.26804,0,0,1780.35102,1155,95,376,0,2018-10-10T22:49:00.000,2018-10-11T05:54:00.000,425,80,3,221,34,75,6,49,32,19,52,18
109,2018-10-11,4,TRUE,FALSE,3034,1675,10386,6.54,27.43,64,9,686,269,19,41,1581,-1,2,20.24316,207,1043.22078,0,0,1902.97338,1177,93,402,0,2018-10-11T22:08:30.000,2018-10-12T05:53:30.000,465,98,4,238,30,66,8,63,31,22,52,15
110,2018-10-12,5,TRUE,FALSE,697,563,1081,0.62,0,65,0,0,32,8,1,167,-1,0,0,13,65.96478,0,0,603.92094,448,,,,,,,,,,,,,,,,,
111,2018-10-13,6,FALSE,TRUE,2304,1675,6304,4.08,27.43,64,9,840,181,0,0,792,-1,0,0,62,328.42782,0,0,1598.16258,1057,98,396,0,2018-10-13T23:30:00.000,2018-10-14T06:45:30.000,435,87,3,180,27,129,14,39,29,20,42,30
112,2018-10-14,7,FALSE,TRUE,3008,1675,11779,7.55,6.1,62,2,667,245,30,63,1639,-1,3,28.38696,151,940.72524,0,0,2011.5186,1267,97,403,0,2018-10-14T22:16:30.000,2018-10-15T05:55:30.000,459,95,4,204,25,104,8,56,28,21,45,23
113,2018-10-15,1,TRUE,FALSE,2896,1675,7794,4.95,33.53,60,11,668,270,34,9,1421,-1,0,0,154,785.52768,0,0,2058.86898,1245,95,337,0,2018-10-15T22:41:00.000,2018-10-16T05:13:00.000,392,63,3,206,23,68,6,55,23,17,53,18
114,2018-10-16,2,TRUE,FALSE,3010,1675,9593,6.18,21.34,61,7,736,237,36,39,1522,-1,0,0,202,1027.04952,0,0,1947.29892,1211,98,389,0,2018-10-16T23:03:30.000,2018-10-17T06:20:30.000,437,99,4,179,23,111,7,48,21,23,41,26
115,2018-10-17,3,TRUE,FALSE,577,516,455,0.2,0,61,0,0,17,0,0,74,-1,0,0,7,37.69416,0,0,506.079,410,,,,,,,,,,,,,,,,,
