,Date,Day of Week,Is Weekday,Is Weekend,Calories Burned,Calories BMR,Steps,Distance (Km),Elevation (Ft),Resting Heart Rate,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories,Active Score,Cardio minutes,Cardio calories,Fat Burn minutes,Fat Burn calories,Peak minutes,Peak calories,Normal Cardio calories,Normal Cardio minutes,Sleep Efficiency,Minutes Asleep,Minutes to fall asleep,Sleep Start time,Sleep End time,Time in bed,Minutes Deep sleep,Deep sleep count,Minutes Light sleep,Light sleep count,Minutes REM sleep,REM sleep count,Minutes Awake,Minutes Awake count,% Deep sleep,% Light sleep,% REM sleep
23,2018-07-17,2,TRUE,FALSE,3133,1680,10533,6.75,27.43,56,9,760,191,25,76,1649,-1,13,138.8968,131,900.37808,0,0,1932.76648,1181,91,382,0,2018-07-17T21:34:30.000,2018-07-18T05:28:30.000,474,48,3,268,30,66,7,92,29,11,57,14
24,2018-07-18,3,TRUE,FALSE,3071,1680,9186,5.77,24.38,57,8,661,239,14,52,1571,-1,10,105.73926,147,867.27201,0,0,2006.94516,1219,98,340,0,2018-07-19T00:11:30.000,2018-07-19T06:43:30.000,392,81,4,181,19,78,6,52,22,21,47,20
25,2018-07-19,4,TRUE,FALSE,3199,1680,9236,5.95,27.43,57,9,732,212,41,63,1726,-1,13,132.71064,184,1094.8336,0,0,1879.89232,1181,96,378,0,2018-07-20T00:11:30.000,2018-07-20T07:28:00.000,436,113,5,188,27,77,9,58,29,26,44,18
26,2018-07-20,5,TRUE,FALSE,2530,1680,6584,5.35,39.62,57,13,808,168,12,16,951,-1,4,49.25162,45,251.97689,6,86.59882,1931.08366,1211,,,,,,,,,,,,,,,,,
27,2018-07-21,6,FALSE,TRUE,3438,1680,13842,9.13,33.53,57,11,1063,240,33,104,2110,-1,4,42.0192,176,1161.01384,0,0,1305.27976,616,95,235,0,2018-07-22T00:02:30.000,2018-07-22T04:26:30.000,264,57,2,109,18,69,7,29,20,22,42,27
28,2018-07-22,7,FALSE,TRUE,2626,1680,7555,4.55,18.29,56,6,757,280,5,14,1191,-1,0,0,23,152.43632,0,0,2452.8708,1399,98,411,0,2018-07-22T23:09:00.000,2018-07-23T06:49:30.000,460,81,6,259,30,71,6,49,31,18,57,16
29,2018-07-23,1,TRUE,FALSE,2828,1680,7691,4.98,15.24,57,5,726,169,41,44,1279,-1,0,0,116,713.97624,0,0,2001.63128,1278,97,348,0,2018-07-23T22:42:00.000,2018-07-24T05:22:30.000,400,60,3,179,27,109,11,52,31,15,45,28
30,2018-07-24,2,TRUE,FALSE,3405,1680,9731,6.12,15.24,58,5,698,216,38,88,1955,-1,25,263.41447,200,1164.88251,5,65.82444,1803.98647,1123,,,,,,,,,,,,,,,,,
31,2018-07-25,3,TRUE,FALSE,3129,1680,11022,7.3,21.34,59,7,1135,190,43,72,1647,-1,6,61.8563,167,1031.24956,0,0,1512.21147,823,97,377,0,2018-07-25T22:21:00.000,2018-07-26T05:25:30.000,424,95,4,194,29,88,10,47,32,23,46,21
32,2018-07-26,4,TRUE,FALSE,2702,1680,7232,5.76,21.34,62,7,772,189,25,30,1155,-1,7,73.87743,81,488.54806,1,13.77178,2090.62623,1322,94,387,0,2018-07-26T23:46:30.000,2018-07-27T07:01:30.000,435,75,5,241,33,71,10,48,37,18,56,17
33,2018-07-27,5,TRUE,FALSE,2699,1680,8550,5.57,6.1,61,2,761,200,13,31,1149,-1,0,0,89,557.80488,0,0,1983.6564,1228,,,,,,,,,,,,,,,,,
